   % Range crossline_E_amp crossline_E_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30001518E-06  179.98 0.30097933E-10 -179.95 0.79951845E-12    0.04
        250.0000  0.40089367E-08  179.77 0.92246702E-13 -177.12 0.15082723E-11    0.55
        500.0000  0.77072773E-09  179.35 0.82929245E-13 -178.53 0.39357144E-12    1.52
        750.0000  0.27837357E-09  178.74 0.60957080E-13 -178.67 0.17595403E-12    2.76
       1000.0000  0.13282776E-09  178.02 0.44349018E-13 -178.57 0.98870250E-13    4.21
       1250.0000  0.74422982E-10  177.26 0.33269160E-13 -178.34 0.63004039E-13    5.84
       1500.0000  0.46303535E-10  176.53 0.25789662E-13 -178.02 0.43460283E-13    7.61
       1750.0000  0.31006955E-10  175.87 0.20568965E-13 -177.62 0.31651171E-13    9.52
       2000.0000  0.21924717E-10  175.33 0.16795514E-13 -177.13 0.23975974E-13   11.53
       2250.0000  0.16166043E-10  174.93 0.13980295E-13 -176.56 0.18710143E-13   13.64
       2500.0000  0.12323057E-10  174.68 0.11821329E-13 -175.91 0.14943532E-13   15.83
       2750.0000  0.96509085E-11  174.61 0.10126213E-13 -175.20 0.12158818E-13   18.09
       3000.0000  0.77288583E-11  174.72 0.87683924E-14 -174.41 0.10044196E-13   20.41
       3250.0000  0.63063495E-11  175.00 0.76620759E-14 -173.57 0.84025768E-14   22.77
       3500.0000  0.52275456E-11  175.44 0.67474647E-14 -172.67 0.71043751E-14   25.18
       3750.0000  0.43919296E-11  176.04 0.59818177E-14 -171.71 0.60615172E-14   27.61
       4000.0000  0.37326228E-11  176.78 0.53338891E-14 -170.72 0.52124270E-14   30.07
       4250.0000  0.32039141E-11  177.65 0.47803720E-14 -169.68 0.45129911E-14   32.55
       4500.0000  0.27738121E-11  178.63 0.43035664E-14 -168.60 0.39309287E-14   35.05
       4750.0000  0.24194501E-11  179.70 0.38898134E-14 -167.49 0.34421738E-14   37.55
       5000.0000  0.21241718E-11 -179.15 0.35284206E-14 -166.35 0.30284863E-14   40.05
       5250.0000  0.18756341E-11 -177.93 0.32109097E-14 -165.19 0.26758385E-14   42.55
       5500.0000  0.16645464E-11 -176.65 0.29304798E-14 -164.01 0.23732994E-14   45.06
       5750.0000  0.14838146E-11 -175.34 0.26816186E-14 -162.82 0.21122504E-14   47.55
       6000.0000  0.13279506E-11 -173.99 0.24598155E-14 -161.61 0.18858233E-14   50.04
       6250.0000  0.11926564E-11 -172.63 0.22613479E-14 -160.40 0.16884915E-14   52.51
       6500.0000  0.10745282E-11 -171.24 0.20831192E-14 -159.17 0.15157690E-14   54.97
       6750.0000  0.97084245E-12 -169.85 0.19225348E-14 -157.95 0.13639846E-14   57.42
       7000.0000  0.87939841E-12 -168.45 0.17774066E-14 -156.72 0.12301116E-14   59.86
       7250.0000  0.79840200E-12 -167.06 0.16458774E-14 -155.50 0.11116377E-14   62.27
       7500.0000  0.72637829E-12 -165.68 0.15263626E-14 -154.27 0.10064646E-14   64.67
       7750.0000  0.66210526E-12 -164.31 0.14175022E-14 -153.06 0.91282901E-15   67.05
       8000.0000  0.60456307E-12 -162.96 0.13181240E-14 -151.85 0.82924149E-15   69.40
       8250.0000  0.55289480E-12 -161.62 0.12272125E-14 -150.65 0.75443738E-15   71.74
       8500.0000  0.50637586E-12 -160.31 0.11438844E-14 -149.46 0.68733786E-15   74.06
       8750.0000  0.46438994E-12 -159.03 0.10673682E-14 -148.28 0.62701852E-15   76.35
       9000.0000  0.42640990E-12 -157.77 0.99698739E-15 -147.12 0.57268400E-15   78.62
       9250.0000  0.39198255E-12 -156.54 0.93214694E-15 -145.97 0.52364730E-15   80.87
       9500.0000  0.36071639E-12 -155.34 0.87232137E-15 -144.84 0.47931284E-15   83.09
       9750.0000  0.33227169E-12 -154.18 0.81704532E-15 -143.72 0.43916250E-15   85.29
      10000.0000  0.30635238E-12 -153.05 0.76590539E-15 -142.62 0.40274411E-15   87.47
      10250.0000  0.28269946E-12 -151.96 0.71853330E-15 -141.54 0.36966180E-15   89.62
      10500.0000  0.26108548E-12 -150.90 0.67460004E-15 -140.47 0.33956803E-15   91.75
      10750.0000  0.24131003E-12 -149.89 0.63381097E-15 -139.43 0.31215678E-15   93.85
      11000.0000  0.22319594E-12 -148.92 0.59590155E-15 -138.41 0.28715797E-15   95.93
      11250.0000  0.20658611E-12 -148.00 0.56063371E-15 -137.41 0.26433255E-15   97.98
      11500.0000  0.19134085E-12 -147.12 0.52779278E-15 -136.43 0.24346854E-15  100.01
      11750.0000  0.17733562E-12 -146.28 0.49718470E-15 -135.47 0.22437744E-15  102.01
      12000.0000  0.16445908E-12 -145.49 0.46863376E-15 -134.53 0.20689137E-15  103.99
      12250.0000  0.15261148E-12 -144.76 0.44198052E-15 -133.62 0.19086043E-15  105.94
      12500.0000  0.14170325E-12 -144.07 0.41708005E-15 -132.73 0.17615055E-15  107.86
      12750.0000  0.13165379E-12 -143.44 0.39380039E-15 -131.86 0.16264161E-15  109.75
      13000.0000  0.12239041E-12 -142.86 0.37202117E-15 -131.02 0.15022578E-15  111.62
      13250.0000  0.11384745E-12 -142.33 0.35163242E-15 -130.20 0.13880608E-15  113.46
      13500.0000  0.10596549E-12 -141.86 0.33253354E-15 -129.41 0.12829519E-15  115.27
      13750.0000  0.98690636E-13 -141.45 0.31463235E-15 -128.64 0.11861435E-15  117.06
      14000.0000  0.91973973E-13 -141.10 0.29784426E-15 -127.90 0.10969239E-15  118.81
      14250.0000  0.85770991E-13 -140.80 0.28209155E-15 -127.18 0.10146496E-15  120.54
      14500.0000  0.80041142E-13 -140.57 0.26730273E-15 -126.48 0.93873749E-16  122.24
      14750.0000  0.74747433E-13 -140.40 0.25341195E-15 -125.81 0.86865870E-16  123.90
      15000.0000  0.69856057E-13 -140.29 0.24035848E-15 -125.17 0.80393303E-16  125.54
   % Range crossline_B_amp crossline_B_phs inline_E_amp inline_E_phs  vertical_E_amp vertical_E_phs 
          0.0000  0.30105281E-10    0.06 0.29966278E-06  179.98 0.53110154E-08    0.01
        250.0000  0.92743858E-12    0.52 0.52005657E-08    0.65 0.11404502E-08    0.26
        500.0000  0.15789208E-12    1.08 0.11298650E-08    1.63 0.19332357E-09    0.77
        750.0000  0.36431073E-13    1.31 0.43156442E-09    2.80 0.59955811E-10    1.47
       1000.0000  0.54987035E-14   -1.97 0.21051648E-09    4.13 0.24350895E-10    2.35
       1250.0000  0.37955330E-14 -169.00 0.11857977E-09    5.57 0.11626954E-10    3.41
       1500.0000  0.64450625E-14 -170.93 0.73497980E-10    7.08 0.62365160E-11    4.66
       1750.0000  0.68890163E-14 -170.17 0.48729278E-10    8.62 0.36652239E-11    6.06
       2000.0000  0.65763579E-14 -168.96 0.33927780E-10   10.18 0.23167745E-11    7.57
       2250.0000  0.60305312E-14 -167.58 0.24498660E-10   11.75 0.15500392E-11    9.13
       2500.0000  0.54447371E-14 -166.14 0.18189055E-10   13.32 0.10827820E-11   10.71
       2750.0000  0.48882048E-14 -164.68 0.13802646E-10   14.90 0.78111944E-12   12.31
       3000.0000  0.43825032E-14 -163.22 0.10660584E-10   16.48 0.57713321E-12   13.91
       3250.0000  0.39310027E-14 -161.77 0.83556027E-11   18.06 0.43412466E-12   15.51
       3500.0000  0.35304983E-14 -160.33 0.66317081E-11   19.66 0.33105161E-12   17.12
       3750.0000  0.31758015E-14 -158.93 0.53216183E-11   21.26 0.25517551E-12   18.74
       4000.0000  0.28615063E-14 -157.54 0.43124377E-11   22.87 0.19840633E-12   20.38
       4250.0000  0.25826151E-14 -156.19 0.35259059E-11   24.48 0.15539249E-12   22.04
       4500.0000  0.23347111E-14 -154.86 0.29065463E-11   26.09 0.12247256E-12   23.73
       4750.0000  0.21139574E-14 -153.55 0.24142887E-11   27.71 0.97071980E-13   25.46
       5000.0000  0.19170390E-14 -152.28 0.20197271E-11   29.33 0.77340220E-13   27.22
       5250.0000  0.17410923E-14 -151.03 0.17009866E-11   30.94 0.61923497E-13   29.03
       5500.0000  0.15836376E-14 -149.81 0.14416020E-11   32.54 0.49817305E-13   30.88
       5750.0000  0.14425215E-14 -148.62 0.12290520E-11   34.12 0.40267697E-13   32.77
       6000.0000  0.13158680E-14 -147.46 0.10537271E-11   35.69 0.32703451E-13   34.72
       6250.0000  0.12020377E-14 -146.33 0.90819205E-12   37.24 0.26688409E-13   36.72
       6500.0000  0.10995944E-14 -145.22 0.78665087E-12   38.77 0.21887368E-13   38.78
       6750.0000  0.10072771E-14 -144.15 0.68455467E-12   40.27 0.18041284E-13   40.89
       7000.0000  0.92397660E-15 -143.10 0.59831050E-12   41.73 0.14949008E-13   43.06
       7250.0000  0.84871509E-15 -142.08 0.52506349E-12   43.17 0.12453696E-13   45.28
       7500.0000  0.78062974E-15 -141.10 0.46253234E-12   44.56 0.10432592E-13   47.56
       7750.0000  0.71895801E-15 -140.14 0.40888419E-12   45.92 0.87892998E-14   49.88
       8000.0000  0.66302514E-15 -139.21 0.36263869E-12   47.24 0.74478907E-14   52.24
       8250.0000  0.61223339E-15 -138.31 0.32259414E-12   48.51 0.63483861E-14   54.63
       8500.0000  0.56605266E-15 -137.45 0.28777014E-12   49.74 0.54432825E-14   57.06
       8750.0000  0.52401236E-15 -136.61 0.25736293E-12   50.92 0.46948615E-14   59.51
       9000.0000  0.48569425E-15 -135.80 0.23071044E-12   52.05 0.40731019E-14   61.97
       9250.0000  0.45072626E-15 -135.02 0.20726466E-12   53.14 0.35540533E-14   64.43
       9500.0000  0.41877705E-15 -134.26 0.18656995E-12   54.17 0.31185643E-14   66.90
       9750.0000  0.38955121E-15 -133.54 0.16824569E-12   55.15 0.27512863E-14   69.35
      10000.0000  0.36278513E-15 -132.85 0.15197250E-12   56.07 0.24398894E-14   71.79
      10250.0000  0.33824327E-15 -132.18 0.13748121E-12   56.94 0.21744461E-14   74.21
      10500.0000  0.31571500E-15 -131.54 0.12454397E-12   57.75 0.19469428E-14   76.60
      10750.0000  0.29501171E-15 -130.92 0.11296711E-12   58.49 0.17508948E-14   78.97
      11000.0000  0.27596437E-15 -130.34 0.10258529E-12   59.18 0.15810398E-14   81.30
      11250.0000  0.25842128E-15 -129.77 0.93256860E-13   59.80 0.14330956E-14   83.61
      11500.0000  0.24224617E-15 -129.24 0.84859910E-13   60.35 0.13035664E-14   85.88
      11750.0000  0.22731649E-15 -128.72 0.77289184E-13   60.83 0.11895893E-14   88.12
      12000.0000  0.21352191E-15 -128.23 0.70453455E-13   61.24 0.10888115E-14   90.33
      12250.0000  0.20076296E-15 -127.76 0.64273385E-13   61.56 0.99929208E-15   92.51
      12500.0000  0.18894992E-15 -127.32 0.58679741E-13   61.81 0.91942402E-15   94.67
      12750.0000  0.17800172E-15 -126.90 0.53611924E-13   61.98 0.84787116E-15   96.80
      13000.0000  0.16784505E-15 -126.49 0.49016728E-13   62.05 0.78351792E-15   98.90
      13250.0000  0.15841353E-15 -126.11 0.44847303E-13   62.03 0.72542887E-15  100.99
      13500.0000  0.14964703E-15 -125.75 0.41062285E-13   61.91 0.67281610E-15  103.05
      13750.0000  0.14149098E-15 -125.40 0.37625056E-13   61.69 0.62501298E-15  105.10
      14000.0000  0.13389581E-15 -125.08 0.34503117E-13   61.37 0.58145285E-15  107.13
      14250.0000  0.12681649E-15 -124.77 0.31667554E-13   60.93 0.54165184E-15  109.15
      14500.0000  0.12021201E-15 -124.48 0.29092578E-13   60.37 0.50519485E-15  111.15
      14750.0000  0.11404504E-15 -124.20 0.26755131E-13   59.69 0.47172411E-15  113.15
      15000.0000  0.10828151E-15 -123.94 0.24634543E-13   58.89 0.44092991E-15  115.13
   % Range crossline_B_amp crossline_B_phs inline_E_amp inline_E_phs  vertical_E_amp vertical_E_phs 
          0.0000  0.36323406E-12 -179.97 0.17537536E-07    0.02 0.17332594E-06    0.03
        250.0000  0.39654476E-12 -179.71 0.71239853E-10  179.99 0.59988708E-09 -179.97
        500.0000  0.60265988E-13 -179.20 0.10154258E-09 -179.30 0.53012446E-10 -179.86
        750.0000  0.18257978E-13 -178.50 0.33511663E-10 -178.60 0.11994634E-10 -179.64
