   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
        750.0000  0.31443370e-13   48.57 0.34048845e-09   35.91 0.55444517e-10   26.24
       1000.0000  0.76571426e-14  108.35 0.14405492e-09   47.86 0.20981294e-10   39.57
       1250.0000  0.65446818e-14  177.97 0.68619386e-10   58.83 0.91078071e-11   54.19
       1500.0000  0.64876653e-14 -156.53 0.35141089e-10   68.41 0.43393386e-11   69.94
       1750.0000  0.56112716e-14 -142.16 0.18836484e-10   76.13 0.22233694e-11   86.61
       2000.0000  0.45623863e-14 -131.44 0.10395004e-10   81.34 0.12102345e-11  103.85
       2250.0000  0.36088593e-14 -122.60 0.58662687e-11   83.13 0.69262004e-12  121.32
       2500.0000  0.28200877e-14 -115.07 0.34180084e-11   80.32 0.41257877e-12  138.74
       2750.0000  0.21937356e-14 -108.62 0.21337186e-11   72.23 0.25343260e-12  155.97
       3000.0000  0.17061385e-14 -103.17 0.15043703e-11   60.70 0.15929048e-12  172.97
       3250.0000  0.13305370e-14  -98.69 0.12067245e-11   50.12 0.10183777e-12 -170.25
       3500.0000  0.10429764e-14  -95.14 0.10446300e-11   43.26 0.65941283e-13 -153.63
       3750.0000  0.82366849e-15  -92.50 0.92722885e-12   39.89 0.43115352e-13 -137.12
       4000.0000  0.65680371e-15  -90.71 0.82377709e-12   38.83 0.28407148e-13 -120.67
       4250.0000  0.52993485e-15  -89.68 0.72723977e-12   39.07 0.18832569e-13 -104.25
       4500.0000  0.43333507e-15  -89.27 0.63762164e-12   39.96 0.12549365e-13  -87.84
       4750.0000  0.35945315e-15  -89.34 0.55615613e-12   41.10 0.83989966e-14  -71.42
       5000.0000  0.30248160e-15  -89.71 0.48366398e-12   42.25 0.56425109e-14  -54.97
       5250.0000  0.25801493e-15  -90.23 0.42029085e-12   43.28 0.38033338e-14  -38.47
       5500.0000  0.22276871e-15  -90.79 0.36563715e-12   44.11 0.25713589e-14  -21.92
       5750.0000  0.19433923e-15  -91.29 0.31895650e-12   44.72 0.17433087e-14   -5.31
       6000.0000  0.17099608e-15  -91.70 0.27932800e-12   45.13 0.11851002e-14   11.38
       6250.0000  0.15150742e-15  -92.00 0.24578248e-12   45.36 0.80781665e-15   28.17
       6500.0000  0.13499966e-15  -92.20 0.21738604e-12   45.45 0.55221963e-15   45.06
       6750.0000  0.12084993e-15  -92.31 0.19328946e-12   45.45 0.37868487e-15   62.07
       7000.0000  0.10860771e-15  -92.36 0.17275207e-12   45.38 0.26061623e-15   79.20
       7250.0000  0.97939770e-16  -92.36 0.15514783e-12   45.29 0.18010967e-15   96.47
       7500.0000  0.88592661e-16  -92.33 0.13995980e-12   45.18 0.12508279e-15  113.85
       7750.0000  0.80367882e-16  -92.29 0.12676819e-12   45.09 0.87365342e-16  131.33
       8000.0000  0.73105583e-16  -92.24 0.11523559e-12   45.01 0.61423743e-16  148.88
       8250.0000  0.66674004e-16  -92.20 0.10509210e-12   44.94 0.43505700e-16  166.45
       8500.0000  0.60962598e-16  -92.16 0.96121686e-13   44.89 0.31064725e-16 -176.02
       8750.0000  0.55877461e-16  -92.13 0.88150556e-13   44.86 0.22371750e-16 -158.62
       9000.0000  0.51338206e-16  -92.11 0.81037740e-13   44.84 0.16252275e-16 -141.43
       9250.0000  0.47275707e-16  -92.09 0.74667668e-13   44.82 0.11908060e-16 -124.53
       9500.0000  0.43630393e-16  -92.08 0.68944501e-13   44.82 0.87959593e-17 -108.00
       9750.0000  0.40350869e-16  -92.07 0.63787853e-13   44.81 0.65455498e-17  -91.91
      10000.0000  0.37392778e-16  -92.07 0.59129592e-13   44.81 0.49032071e-17  -76.32
      10250.0000  0.34717812e-16  -92.07 0.54911450e-13   44.81 0.36942399e-17  -61.27
      10500.0000  0.32292868e-16  -92.07 0.51083224e-13   44.81 0.27973536e-17  -46.77
      10750.0000  0.30089305e-16  -92.07 0.47601403e-13   44.81 0.21274959e-17  -32.85
      11000.0000  0.28082299e-16  -92.07 0.44428102e-13   44.81 0.16243613e-17  -19.50
      11250.0000  0.26250291e-16  -92.07 0.41530213e-13   44.80 0.12446911e-17   -6.72
      11500.0000  0.24574511e-16  -92.07 0.38878720e-13   44.80 0.95709827e-18    5.51
      11750.0000  0.23038571e-16  -92.07 0.36448129e-13   44.80 0.73856784e-18   17.19
      12000.0000  0.21628122e-16  -92.06 0.34215999e-13   44.79 0.57206720e-18   28.37
      12250.0000  0.20330560e-16  -92.06 0.32162529e-13   44.79 0.44489371e-18   39.06
      12500.0000  0.19134785e-16  -92.06 0.30270221e-13   44.79 0.34751648e-18   49.30
      12750.0000  0.18030990e-16  -92.06 0.28523576e-13   44.78 0.27275248e-18   59.14
      13000.0000  0.17010487e-16  -92.06 0.26908842e-13   44.78 0.21517195e-18   68.62
      13250.0000  0.16065559e-16  -92.06 0.25413792e-13   44.77 0.17066351e-18   77.79
      13500.0000  0.15189335e-16  -92.06 0.24027531e-13   44.77 0.13611203e-18   86.72
      13750.0000  0.14375681e-16  -92.06 0.22740334e-13   44.77 0.10915762e-18   95.46
      14000.0000  0.13619109e-16  -92.05 0.21543501e-13   44.76 0.88013573e-19  104.06
      14250.0000  0.12914702e-16  -92.05 0.20429232e-13   44.76 0.71328009e-19  112.57
      14500.0000  0.12258041e-16  -92.05 0.19390524e-13   44.76 0.58078305e-19  121.04
      14750.0000  0.11645147e-16  -92.05 0.18421074e-13   44.75 0.47490442e-19  129.49
      15000.0000  0.11072436e-16  -92.05 0.17515202e-13   44.75 0.38977542e-19  137.96
   % Range crossline_B_amp crossline_B_phs inline_e_amp inline_e_phs  vertical_e_amp vertical_e_phs 
          0.0000  0.36319650e-12 -179.45 0.17537254e-07    0.32 0.17330800e-06    0.55
        250.0000  0.39438341e-12 -174.34 0.68745152e-10  178.59 0.60397503e-09 -179.21
        500.0000  0.58468980e-13 -164.86 0.98322080e-10 -167.00 0.54467977e-10 -176.04
        750.0000  0.16897352e-13 -153.05 0.30958543e-10 -155.24 0.12560636e-10 -169.53
       1000.0000  0.63415278e-14 -139.70 0.11929306e-10 -141.92 0.41945477e-11 -160.38
       1250.0000  0.27412231e-14 -125.06 0.52238846e-11 -127.30 0.16856942e-11 -149.43
