   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
        333.3333  0.45505797e-12   15.09 0.26230581e-08   14.88 0.55642494e-09    7.86
        416.6667  0.25043107e-12   19.93 0.15595951e-08   19.13 0.31004034e-09   11.02
        500.0000  0.14502679e-12   25.35 0.99944499e-09   23.37 0.18742561e-09   14.48
        583.3333  0.86427032e-13   31.58 0.67418052e-09   27.59 0.12003937e-09   18.19
        666.6667  0.52139017e-13   39.05 0.47223306e-09   31.77 0.80249065e-10   22.12
        750.0000  0.31440389e-13   48.56 0.34048372e-09   35.91 0.55443581e-10   26.24
        833.3333  0.18838031e-13   61.63 0.25117692e-09   39.97 0.39314290e-10   30.53
        916.6667  0.11423845e-13   80.87 0.18876530e-09   43.96 0.28470194e-10   34.97
       1000.0000  0.76538620e-14  108.36 0.14405102e-09   47.85 0.20980101e-10   39.57
       1083.3333  0.63982233e-14  138.66 0.11134687e-09   51.64 0.15690854e-10   44.31
       1166.6667  0.63415481e-14  162.20 0.87005845e-10   55.30 0.11886240e-10   49.18
       1250.0000  0.65436160e-14  177.99 0.68616847e-10   58.82 0.91064831e-11   54.19
       1333.3333  0.66631418e-14 -171.11 0.54544027e-10   62.19 0.70480561e-11   59.32
       1416.6667  0.66378624e-14 -162.99 0.43652612e-10   65.39 0.55057590e-11   64.57
       1500.0000  0.64870430e-14 -156.52 0.35140100e-10   68.40 0.43380180e-11   69.94
       1583.3333  0.62454510e-14 -151.09 0.28429308e-10   71.21 0.34454419e-11   75.41
       1666.6667  0.59449289e-14 -146.37 0.23098856e-10   73.79 0.27572012e-11   80.97
       1750.0000  0.56104600e-14 -142.15 0.18836975e-10   76.12 0.22221625e-11   86.61
       1833.3333  0.52604014e-14 -138.30 0.15410212e-10   78.17 0.18029936e-11   92.31
       1916.6667  0.49077214e-14 -134.75 0.12641841e-10   79.92 0.14721672e-11   98.06
       2000.0000  0.45612845e-14 -131.44 0.10396751e-10   81.33 0.12092064e-11  103.85
       2083.3333  0.42269305e-14 -128.32 0.85707082e-11   82.36 0.99875756e-12  109.67
       2166.6667  0.39083126e-14 -125.39 0.70826292e-11   82.98 0.82922416e-12  115.50
       2250.0000  0.36075267e-14 -122.60 0.58689492e-11   83.13 0.69178732e-12  121.32
       2333.3333  0.33255745e-14 -119.97 0.48794667e-11   82.76 0.57969660e-12  127.15
       2416.6667  0.30627009e-14 -117.46 0.40742323e-11   81.84 0.48775207e-12  132.96
       2500.0000  0.28186384e-14 -115.08 0.34211798e-11   80.32 0.41192313e-12  138.75
       2583.3333  0.25927818e-14 -112.82 0.28942892e-11   78.21 0.34906618e-12  144.51
