   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
        500.0000  0.14502537e-12   25.35 0.99944195e-09   23.37 0.18742499e-09   14.48
        666.6667  0.52137239e-13   39.05 0.47222999e-09   31.77 0.80248208e-10   22.12
        833.3333  0.18835844e-13   61.62 0.25117421e-09   39.97 0.39313229e-10   30.53
       1000.0000  0.76513762e-14  108.35 0.14404898e-09   47.85 0.20978885e-10   39.57
       1166.6667  0.63398772e-14  162.21 0.87004689e-10   55.30 0.11884928e-10   49.18
       1333.3333  0.66619165e-14 -171.10 0.54543854e-10   62.19 0.70467135e-11   59.31
       1500.0000  0.64858197e-14 -156.51 0.35140920e-10   68.40 0.43367041e-11   69.93
       1666.6667  0.59435541e-14 -146.37 0.23100611e-10   73.78 0.27559647e-11   80.96
       1833.3333  0.52588429e-14 -138.30 0.15412797e-10   78.17 0.18018680e-11   92.30
       2000.0000  0.45595649e-14 -131.44 0.10400026e-10   81.32 0.12082093e-11  103.85
       2166.6667  0.39064813e-14 -125.39 0.70864292e-11   82.97 0.82835919e-12  115.49
       2333.3333  0.33236921e-14 -119.98 0.48835888e-11   82.76 0.57895639e-12  127.14
       2500.0000  0.28167675e-14 -115.10 0.34253682e-11   80.34 0.41129371e-12  138.73
       2666.6667  0.23825128e-14 -110.70 0.24760690e-11   75.53 0.29617870e-12  150.23
       2833.3333  0.20140341e-14 -106.75 0.18760284e-11   68.70 0.21567483e-12  161.61
       3000.0000  0.17032899e-14 -103.24 0.15089699e-11   60.91 0.15848610e-12  172.88
       3166.6667  0.14423199e-14 -100.16 0.12865287e-11   53.58 0.11732375e-12 -175.95
       3333.3333  0.12237891e-14  -97.51 0.11450773e-11   47.71 0.87373976e-13 -164.89
       3500.0000  0.10411837e-14  -95.26 0.10444821e-11   43.59 0.65388182e-13 -153.90
       3666.6667  0.88883617e-15  -93.43 0.96291620e-12   41.02 0.49131105e-13 -142.97
       3833.3333  0.76187313e-15  -91.97 0.89003053e-12   39.63 0.37038406e-13 -132.10
       4000.0000  0.65613233e-15  -90.89 0.82160612e-12   39.09 0.27999280e-13 -121.26
       4166.6667  0.56807406e-15  -90.13 0.75633064e-12   39.12 0.21215276e-13 -110.46
       4333.3333  0.49469724e-15  -89.67 0.69410841e-12   39.52 0.16106575e-13  -99.66
       4500.0000  0.43346522e-15  -89.46 0.63524776e-12   40.12 0.12248549e-13  -88.88
       4666.6667  0.38224183e-15  -89.45 0.58010049e-12   40.84 0.93280255e-14  -78.10
       4833.3333  0.33923695e-15  -89.60 0.52892168e-12   41.58 0.71126794e-14  -67.32
       5000.0000  0.30295977e-15  -89.85 0.48183167e-12   42.31 0.54293096e-14  -56.52
       5166.6667  0.27217782e-15  -90.17 0.43882249e-12   42.98 0.41482579e-14  -45.71
       5333.3333  0.24588050e-15  -90.52 0.39978097e-12   43.57 0.31721195e-14  -34.88
       5500.0000  0.22324589e-15  -90.86 0.36451576e-12   44.07 0.24274982e-14  -24.02
       5666.6667  0.20361073e-15  -91.18 0.33278269e-12   44.48 0.18589450e-14  -13.13
       5833.3333  0.18644328e-15  -91.46 0.30430633e-12   44.81 0.14244749e-14   -2.20
       6000.0000  0.17131925e-15  -91.70 0.27879736e-12   45.04 0.10922356e-14    8.77
       6166.6667  0.15790102e-15  -91.90 0.25596581e-12   45.21 0.83802057e-15   19.80
       6333.3333  0.14591989e-15  -92.05 0.23553080e-12   45.31 0.64340645e-15   30.88
       6500.0000  0.13516149e-15  -92.16 0.21722731e-12   45.36 0.49435342e-15   42.03
       6666.6667  0.12545383e-15  -92.24 0.20081032e-12   45.37 0.38015010e-15   53.26
       6833.3333  0.11665788e-15  -92.28 0.18605721e-12   45.35 0.29261661e-15   64.56
       7000.0000  0.10866006e-15  -92.31 0.17276840e-12   45.32 0.22550106e-15   75.96
       7166.6667  0.10136653e-15  -92.31 0.16076706e-12   45.26 0.17402182e-15   87.45
       7333.3333  0.94698773e-16  -92.30 0.14989790e-12   45.21 0.13451961e-15   99.03
       7500.0000  0.88590220e-16  -92.29 0.14002553e-12   45.15 0.10419274e-15  110.72
       7666.6667  0.82983767e-16  -92.27 0.13103254e-12   45.09 0.80895335e-16  122.51
       7833.3333  0.77829858e-16  -92.24 0.12281744e-12   45.04 0.62983442e-16  134.39
       8000.0000  0.73085062e-16  -92.22 0.11529265e-12   45.00 0.49197428e-16  146.37
       8166.6667  0.68711001e-16  -92.19 0.10838264e-12   44.96 0.38572146e-16  158.41
       8333.3333  0.64673537e-16  -92.17 0.10202215e-12   44.93 0.30368199e-16  170.51
       8500.0000  0.60942142e-16  -92.15 0.96154714e-13   44.90 0.24019318e-16 -177.36
       8666.6667  0.57489415e-16  -92.13 0.90731254e-13   44.88 0.19092049e-16 -165.24
       8833.3333  0.54290687e-16  -92.12 0.85708979e-13   44.86 0.15254845e-16 -153.16
       9000.0000  0.51323713e-16  -92.10 0.81050392e-13   44.85 0.12254323e-16 -141.16
       9166.6667  0.48568398e-16  -92.10 0.76722479e-13   44.84 0.98970262e-17 -129.28
       9333.3333  0.46006581e-16  -92.09 0.72696026e-13   44.84 0.80353802e-17 -117.57
       9500.0000  0.43621834e-16  -92.08 0.68945065e-13   44.83 0.65568795e-17 -106.05
       9666.6667  0.41399293e-16  -92.08 0.65446403e-13   44.83 0.53757599e-17  -94.76
       9833.3333  0.39325500e-16  -92.08 0.62179243e-13   44.83 0.44265955e-17  -83.74
      10000.0000  0.37388271e-16  -92.07 0.59124865e-13   44.83 0.36593868e-17  -72.99
   % Range crossline_B_amp crossline_B_phs inline_e_amp inline_e_phs  vertical_e_amp vertical_e_phs 
          0.0000  0.36319650e-12 -179.45 0.17537254e-07    0.32 0.17330800e-06    0.55
        166.6667  0.10647584e-11 -176.69 0.29472733e-08    3.00 0.19376952e-08 -179.99
        333.3333  0.18304636e-12 -171.53 0.21469287e-09 -173.70 0.22840259e-09 -178.47
        500.0000  0.58468621e-13 -164.86 0.98321334e-10 -167.00 0.54468191e-10 -176.04
        666.6667  0.24577115e-13 -157.18 0.44297485e-10 -159.36 0.19356708e-10 -172.05
        833.3333  0.11938780e-13 -148.75 0.22125511e-10 -150.95 0.84716386e-11 -166.72
       1000.0000  0.63408195e-14 -139.70 0.11927861e-10 -141.92 0.41946380e-11 -160.38
       1166.6667  0.35812739e-14 -130.08 0.68003400e-11 -132.31 0.22507545e-11 -153.24
       1333.3333  0.21187435e-14 -119.93 0.40500291e-11 -122.18 0.12777921e-11 -145.46
       1500.0000  0.13016880e-14 -109.31 0.25010985e-11 -111.56 0.75694029e-12 -137.10
       1666.6667  0.82604140e-15  -98.27 0.15939721e-11 -100.54 0.46406310e-12 -128.20
       1833.3333  0.53941578e-15  -86.92 0.10446703e-11  -89.21 0.29298836e-12 -118.79
       2000.0000  0.36132146e-15  -75.36 0.70192559e-12  -77.69 0.18987797e-12 -108.94
       2166.6667  0.24751088e-15  -63.71 0.48207651e-12  -66.08 0.12600620e-12  -98.69
       2333.3333  0.17286779e-15  -52.04 0.33740921e-12  -54.46 0.85439807e-13  -88.14
       2500.0000  0.12273685e-15  -40.43 0.23996899e-12  -42.89 0.59066076e-13  -77.37
       2666.6667  0.88345617e-16  -28.91 0.17295908e-12  -31.42 0.41538737e-13  -66.45
       2833.3333  0.64310687e-16  -17.51 0.12603409e-12  -20.07 0.29649838e-13  -55.46
       3000.0000  0.47245725e-16   -6.23 0.92663535e-13   -8.82 0.21433424e-13  -44.45
       3166.6667  0.34968099e-16    4.94 0.68624372e-13    2.32 0.15659485e-13  -33.44
       3333.3333  0.26037747e-16   16.02 0.51122012e-13   13.37 0.11542363e-13  -22.46
